relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
2,2026-04-02 09:25:44,th-2,humidity,28.3,32.46666666666667,32.81111111111111,4.166666666666668,4.511111111111109,30,30,90
11,2026-04-02 12:59:06,th-1,temperature,26.080000000000002,26.113333333333333,25.95777777777778,0.03333333333333144,-0.12222222222222356,30,30,90
11,2026-04-02 12:59:06,th-1,humidity,31.0,30.633333333333333,28.91111111111111,-0.36666666666666714,-2.0888888888888886,30,30,90
11,2026-04-02 12:59:06,th-2,temperature,26.419999999999998,26.42,26.313333333333333,3.552713678800501e-15,-0.10666666666666558,30,30,90
11,2026-04-02 12:59:06,th-2,humidity,32.0,31.266666666666666,29.42222222222222,-0.7333333333333343,-2.5777777777777793,30,30,90
9,2026-04-02 12:59:07,th-1,temperature,26.080000000000002,26.113333333333333,25.95777777777778,0.03333333333333144,-0.12222222222222356,30,30,90
9,2026-04-02 12:59:07,th-1,humidity,31.0,30.633333333333333,28.91111111111111,-0.36666666666666714,-2.0888888888888886,30,30,90
9,2026-04-02 12:59:07,th-2,temperature,26.419999999999998,26.42,26.313333333333333,3.552713678800501e-15,-0.10666666666666558,30,30,90
9,2026-04-02 12:59:07,th-2,humidity,32.0,31.266666666666666,29.42222222222222,-0.7333333333333343,-2.5777777777777793,30,30,90
8,2026-04-02 12:59:16,th-1,temperature,26.080000000000002,26.113333333333333,25.95777777777778,0.03333333333333144,-0.12222222222222356,30,30,90
8,2026-04-02 12:59:16,th-1,humidity,31.0,30.633333333333333,28.91111111111111,-0.36666666666666714,-2.0888888888888886,30,30,90
8,2026-04-02 12:59:16,th-2,temperature,26.419999999999998,26.42,26.313333333333333,3.552713678800501e-15,-0.10666666666666558,30,30,90
8,2026-04-02 12:59:16,th-2,humidity,32.0,31.266666666666666,29.42222222222222,-0.7333333333333343,-2.5777777777777793,30,30,90
2,2026-04-02 16:16:55,th-1,temperature,26.323333333333334,26.37,26.414444444444445,0.046666666666666856,0.09111111111111114,30,30,90
2,2026-04-02 16:16:55,th-1,humidity,28.033333333333335,29.733333333333334,30.866666666666667,1.6999999999999993,2.833333333333332,30,30,90
2,2026-04-02 16:16:55,th-2,temperature,26.686666666666667,26.72,26.743333333333332,0.03333333333333144,0.05666666666666487,30,30,90
2,2026-04-02 16:16:55,th-2,humidity,28.433333333333334,30.333333333333332,31.533333333333335,1.8999999999999986,3.1000000000000014,30,30,90
3,2026-04-08 16:31:19,th-1,temperature,22.743333333333332,22.956666666666667,22.80112359550562,0.2133333333333347,0.05779026217228633,30,30,89
3,2026-04-08 16:31:19,th-1,humidity,27.066666666666666,28.233333333333334,27.98876404494382,1.1666666666666679,0.9220973782771544,30,30,89
3,2026-04-08 16:31:19,th-2,temperature,22.933333333333334,23.116666666666667,22.97191011235955,0.18333333333333357,0.038576779026215036,30,30,89
